Ticker,Sector,Value_GBP,Weight,Active,Notes,Position_Status
AMC,Entertainment,22.48,0.17239805852791384,True,,HELD
APP,Technology,472.12,3.6206659871974503,True,,HELD
APPS,Technology,27.99,0.2146539883539283,True,,HELD
BABA,Consumer / Technology,1008.74,7.735979428801058,True,,HELD
DAGB.L,Blockchain / Technology,969.42,7.434436205432839,True,,HELD
ENPH,Energy / Technology,59.93,0.4596003401947454,True,,HELD
EQQQ.L,Technology-heavy Fund,542.11,4.157415992373993,True,,HELD
FBRT,Real Estate / Financials,180.58,1.3848594932816138,True,,HELD
GOOGL,Technology / Communication,256.12,1.9641721863954311,True,,HELD
HL ADVENTUROUS,Diversified Fund,978.16,7.50146285274307,True,,HELD
IDR,Industrials / Technology,882.42,6.767237313443138,True,,HELD
ISF.L,Diversified Fund,695.11,5.33076576794209,True,,HELD
KO,Consumer Staples,194.12,1.4886971139429999,True,,HELD
LUN.TO,Materials / Mining,94.48,0.7245626587952535,True,,HELD
MCD,Consumer,201.34,1.5440669530253635,True,,HELD
MO,Consumer Staples,433.91,3.3276353014166857,True,,HELD
NEE,Utilities,253.54,1.9443862882191847,True,,HELD
NVDA,Technology,2002.61,15.357921529741347,True,,HELD
O,Real Estate,278.7,2.137337140201494,True,,HELD
OCI.AS,Materials,34.65,0.2657292138786572,True,,HELD
PATH,Technology,59.31,0.4548455894702211,True,,HELD
SCHW,Financials,974.4,7.472627590284664,True,,HELD
SPCX,Aerospace / Technology,810.7,6.217220019954615,True,,HELD
V3AM,Diversified Fund,996.3,7.640577656199313,True,,HELD
VANGUARD EM,Diversified Fund,498.81,3.8253503369354402,True,,HELD
VT AI-FUNDS,Fixed Income,111.54,0.8553949932474871,True,,HELD
